Category: All categories

Day,Restaurant: (Iran)
2020-02-20,96
2020-02-21,79
2020-02-22,62
2020-02-23,53
2020-02-24,45
2020-02-25,42
2020-02-26,38
2020-02-27,47
2020-02-28,44
2020-02-29,30
2020-03-01,34
2020-03-02,38
2020-03-03,34
2020-03-04,36
2020-03-05,40
2020-03-06,39
2020-03-07,25
2020-03-08,29
2020-03-09,24
2020-03-10,26
2020-03-11,30
2020-03-12,27
2020-03-13,24
2020-03-14,23
2020-03-15,28
2020-03-16,28
2020-03-17,23
2020-03-18,27
2020-03-19,24
2020-03-20,25
2020-03-21,29
2020-03-22,27
2020-03-23,31
2020-03-24,24
2020-03-25,35
2020-03-26,33
2020-03-27,36
2020-03-28,33
2020-03-29,24
2020-03-30,28
2020-03-31,31
2020-04-01,25
2020-04-02,28
2020-04-03,26
2020-04-04,28
2020-04-05,29
2020-04-06,25
2020-04-07,29
2020-04-08,19
2020-04-09,32
2020-04-10,31
2020-04-11,36
2020-04-12,24
2020-04-13,23
2020-04-14,26
2020-04-15,30
2020-04-16,29
2020-04-17,31
2020-04-18,36
2020-04-19,35
2020-04-20,35
2020-04-21,37
2020-04-22,34
2020-04-23,44
2020-04-24,31
2020-04-25,34
2020-04-26,32
2020-04-27,36
2020-04-28,32
2020-04-29,33
2020-04-30,35
2020-05-01,35
2020-05-02,34
2020-05-03,42
2020-05-04,36
2020-05-05,40
2020-05-06,45
2020-05-07,42
2020-05-08,50
2020-05-09,42
2020-05-10,35
2020-05-11,38
2020-05-12,35
2020-05-13,42
2020-05-14,44
2020-05-15,54
2020-05-16,43
2020-05-17,53
2020-05-18,48
2020-05-19,43
2020-05-20,45
2020-05-21,53
2020-05-22,64
2020-05-23,60
2020-05-24,66
2020-05-25,74
2020-05-26,67
2020-05-27,60
2020-05-28,76
2020-05-29,72
2020-05-30,57
2020-05-31,61
2020-06-01,67
2020-06-02,63
2020-06-03,77
2020-06-04,92
2020-06-05,93
2020-06-06,54
2020-06-07,56
2020-06-08,73
2020-06-09,64
2020-06-10,73
2020-06-11,85
2020-06-12,87
2020-06-13,57
2020-06-14,66
2020-06-15,80
2020-06-16,80
2020-06-17,88
2020-06-18,87
2020-06-19,82
2020-06-20,61
2020-06-21,75
2020-06-22,67
2020-06-23,72
2020-06-24,70
2020-06-25,82
2020-06-26,100
2020-06-27,64
2020-06-28,64
2020-06-29,71
2020-06-30,67
2020-07-01,60
2020-07-02,76
2020-07-03,87
2020-07-04,56
2020-07-05,66
2020-07-06,62
2020-07-07,62
2020-07-08,60
2020-07-09,80
2020-07-10,81
2020-07-11,57
2020-07-12,54
2020-07-13,58
2020-07-14,65
2020-07-15,68
2020-07-16,78
2020-07-17,72
2020-07-18,66
2020-07-19,54
2020-07-20,59
2020-07-21,65
2020-07-22,64
2020-07-23,82
2020-07-24,86
2020-07-25,55
2020-07-26,56
2020-07-27,61
